client_id,full_name,age,gender,marital_status,region,education_level,employment_years,risk_score,risk_level,approve_credit,income,credit_score,loan_amount,past_due,monthly_expenses,savings_balance
31,Client_31,62,male,divorced,Andijan,high_school,31,76.99,1,1,9179.37,698,18122.46,2,3302.12,16743.34
32,Client_32,48,female,widowed,Namangan,bachelor,34,65.137,1,1,3722.04,722,5993.36,1,1736.31,5229.52
33,Client_33,36,female,single,Namangan,high_school,14,49.784,0,1,8450.39,752,14255.12,2,4960.93,19436.12
34,Client_34,35,female,divorced,Andijan,high_school,31,144.862,3,0,9402.56,562,21097.44,2,3481.4,17778.51
35,Client_35,64,female,married,Namangan,master,5,99.342,2,1,4773.05,652,10107.57,4,1336.88,11464.74
36,Client_36,23,female,single,Tashkent,bachelor,20,36.516,0,1,5993.95,778,6541.14,2,3158.48,4254.78
37,Client_37,57,female,divorced,Tashkent,bachelor,32,99.626,2,1,7776.61,652,14841.15,3,3870.26,4519.88
38,Client_38,27,male,single,Samarkand,bachelor,31,72.061,1,1,5670.81,706,9482.47,4,3084.25,13877.38
39,Client_39,41,male,married,Andijan,high_school,18,78.257,1,1,9046.87,695,10069.96,2,2586.39,5974.41
40,Client_40,29,male,divorced,Bukhara,bachelor,32,27.245,0,1,8588.34,797,9708.4,1,3108.4,10927.74
41,Client_41,59,female,married,Bukhara,high_school,27,106.365,2,1,4922.56,638,7334.28,4,2917.21,8860.31
42,Client_42,38,female,widowed,Samarkand,high_school,30,148.396,3,0,5885.41,555,8531.79,3,1549.14,13301.7
43,Client_43,24,female,divorced,Samarkand,high_school,20,128.661,3,0,8154.76,593,13974.83,5,3821.16,8229.41
44,Client_44,45,female,divorced,Namangan,bachelor,33,77.272,1,1,8095.99,697,8948.64,3,2387.29,4518.5
45,Client_45,34,female,divorced,Samarkand,master,14,156.414,3,0,10327.66,539,22330.87,3,4131.72,15931.18
46,Client_46,29,female,divorced,Samarkand,phd,13,110.788,2,1,5680.18,631,8179.29,1,2954.85,8192.09
47,Client_47,46,male,widowed,Bukhara,bachelor,18,82.48,1,1,9188.83,687,12914.53,1,3633.58,10234.39
48,Client_48,22,male,divorced,Namangan,high_school,14,120.235,3,0,5629.13,611,13200.7,2,2939.49,12653.15
49,Client_49,40,female,single,Samarkand,bachelor,5,71.375,1,1,7750.48,709,12313.87,3,2871.82,15490.46
50,Client_50,48,male,divorced,Samarkand,master,8,53.358,0,1,8338.51,745,10649.89,3,5000.95,18480.09
51,Client_51,27,female,widowed,Namangan,high_school,19,65.349,1,1,2509.15,721,4172.44,2,939.25,2066.58
52,Client_52,64,male,divorced,Andijan,phd,33,155.533,3,0,8366.81,541,13945.39,3,2173.29,15769.96
53,Client_53,28,female,single,Namangan,high_school,25,82.322,1,1,9076.85,687,10644.48,2,3274.46,22240.14
54,Client_54,55,female,widowed,Bukhara,phd,17,78.761,1,1,8643.82,694,9534.27,2,4296.3,14900.46
55,Client_55,34,male,widowed,Andijan,master,27,103.101,2,1,10080.01,646,22848.38,4,5434.89,8494.71
56,Client_56,37,male,single,Tashkent,master,8,71.623,1,1,8447.77,708,15429.06,4,3244.29,21048.12
57,Client_57,56,female,single,Namangan,high_school,31,73.872,1,1,6194.19,705,11861.41,1,2711.76,9642.17
58,Client_58,60,female,single,Bukhara,high_school,5,89.509,2,1,8858.52,672,19590.02,3,4765.49,19312.61
59,Client_59,24,male,single,Andijan,high_school,13,131.362,3,0,6109.05,590,15010.31,2,3209.81,4879.44
60,Client_60,22,male,single,Namangan,high_school,27,86.985,2,1,7123.63,678,13695.08,2,3298.88,13051.86
61,Client_61,26,female,widowed,Samarkand,high_school,23,1.78,0,1,8247.67,848,12356.48,2,4338.37,19177.79
62,Client_62,62,male,widowed,Namangan,bachelor,12,103.41,2,1,7672.12,645,11931.82,3,3301.81,11999.47
63,Client_63,24,female,divorced,Tashkent,bachelor,11,38.816,0,1,9026.7,774,9653.41,2,1822.12,9724.64
64,Client_64,49,female,divorced,Namangan,bachelor,18,84.101,1,1,10733.01,683,18534.22,3,2323.77,8101.75
65,Client_65,38,female,married,Andijan,bachelor,20,121.898,3,0,5293.95,608,10294.63,3,3133.62,5780.41
66,Client_66,46,female,divorced,Andijan,high_school,26,98.879,2,1,6507.5,653,14584.48,3,1678.91,7872.56
67,Client_67,64,male,divorced,Namangan,phd,18,86.238,2,1,7474.57,678,11919.18,3,2704.35,14350.5
68,Client_68,54,male,single,Andijan,high_school,23,56.462,1,1,6305.21,739,10820.04,1,3616.19,5405.1
69,Client_69,30,male,single,Samarkand,bachelor,25,0.84,0,1,6886.44,850,9569.95,2,1914.54,4904.59
70,Client_70,56,male,divorced,Namangan,bachelor,27,83.395,1,1,8163.73,685,10519.57,2,4388.14,10399.6
71,Client_71,34,male,married,Samarkand,master,17,141.462,3,0,7964.36,569,16706.7,2,4199.66,11287.95
72,Client_72,51,male,single,Samarkand,high_school,28,159.997,3,0,7371.0,531,16031.52,4,4382.29,12949.15
73,Client_73,35,male,divorced,Bukhara,bachelor,16,105.332,2,1,7221.6,642,12602.48,2,2258.0,13829.81
74,Client_74,28,female,divorced,Namangan,bachelor,3,136.575,3,0,6664.19,578,13076.36,4,2173.39,15184.74
75,Client_75,34,male,widowed,Andijan,high_school,28,60.519,1,1,9106.78,730,10887.45,3,5110.28,9816.27
76,Client_76,43,male,married,Samarkand,bachelor,3,60.023,1,1,9495.08,731,14259.5,2,2788.06,14785.89
77,Client_77,60,female,widowed,Bukhara,master,9,92.554,2,1,8528.22,667,15400.52,4,3574.69,10507.46
78,Client_78,41,male,married,Namangan,phd,24,56.213,1,1,5275.94,739,7973.43,2,2547.95,2652.97
79,Client_79,36,male,single,Namangan,high_school,30,83.107,1,1,6606.68,686,10755.55,2,2039.84,10959.59
80,Client_80,38,female,married,Tashkent,high_school,2,1.684,0,1,7299.5,848,6955.7,2,4199.88,15559.55
81,Client_81,44,male,divorced,Tashkent,high_school,1,57.703,1,1,5588.96,736,6778.55,4,2606.01,3201.8
82,Client_82,46,male,divorced,Samarkand,high_school,24,45.561,0,1,7118.63,761,9272.39,3,1557.95,3609.03
83,Client_83,45,male,married,Tashkent,high_school,5,150.617,3,0,7033.33,550,13621.04,3,1788.54,13754.64
84,Client_84,61,female,married,Samarkand,high_school,25,137.957,3,0,8626.21,575,17947.14,3,2383.53,16111.34
85,Client_85,49,male,married,Andijan,phd,7,64.468,1,1,6252.56,723,12084.18,1,1863.16,8201.51
86,Client_86,35,male,widowed,Samarkand,master,34,155.33,3,0,8744.95,541,14064.11,4,4304.89,15943.89
87,Client_87,21,female,married,Tashkent,high_school,26,113.813,2,1,5563.95,624,6790.54,4,1310.72,13391.15
88,Client_88,45,male,single,Andijan,high_school,24,32.623,0,1,5773.24,786,7982.09,2,1964.28,5748.56
89,Client_89,27,female,widowed,Tashkent,bachelor,17,114.468,2,1,6430.96,622,11107.32,4,3630.62,6378.56
90,Client_90,29,female,widowed,Samarkand,high_school,0,140.024,3,0,7071.81,571,14412.04,1,2989.02,6169.9
91,Client_91,44,male,married,Bukhara,bachelor,2,55.863,1,1,3375.23,740,6270.49,1,1033.49,6574.86
92,Client_92,21,female,single,Namangan,bachelor,3,0.35,0,1,7688.95,850,12227.87,3,4481.29,9275.78
93,Client_93,64,female,widowed,Tashkent,master,14,121.919,3,0,9564.01,607,12994.63,3,2847.46,23693.76
94,Client_94,28,male,divorced,Samarkand,bachelor,7,30.797,0,1,7976.9,790,14643.16,2,4483.34,15389.82
95,Client_95,44,female,widowed,Andijan,bachelor,18,127.9,3,0,6684.0,596,9339.55,2,3277.22,8253.09
96,Client_96,31,female,married,Tashkent,bachelor,25,90.767,2,1,5373.11,670,9833.21,2,2666.18,4289.74
97,Client_97,37,male,single,Tashkent,high_school,9,88.718,2,1,4280.47,674,7968.51,4,2165.81,7208.52
98,Client_98,28,male,married,Namangan,bachelor,13,121.179,3,0,4535.46,610,9373.47,3,1826.1,4942.78
99,Client_99,55,male,divorced,Samarkand,bachelor,18,46.401,0,1,6803.74,759,8509.44,2,3577.62,15723.57
100,Client_100,55,female,divorced,Bukhara,high_school,29,154.519,3,0,10160.37,541,18723.91,4,5430.48,14049.84
101,Client_101,53,male,divorced,Andijan,high_school,4,77.101,1,1,2924.39,698,4869.44,3,1006.56,3173.84
102,Client_102,25,female,married,Samarkand,high_school,30,37.725,0,1,8050.33,777,9325.4,2,2899.23,13501.23
103,Client_103,62,female,widowed,Andijan,master,6,50.377,0,1,5983.43,751,6094.43,0,3323.81,4630.87
104,Client_104,59,female,married,Tashkent,high_school,18,63.444,1,1,6496.76,724,10510.3,3,2662.97,10544.88
105,Client_105,61,female,single,Namangan,high_school,30,14.27,0,1,5593.45,823,7471.92,1,3058.37,3424.44
106,Client_106,48,female,widowed,Namangan,high_school,23,95.335,2,1,4948.84,660,9313.62,4,2230.48,8481.21
107,Client_107,27,female,divorced,Bukhara,bachelor,33,154.11,3,0,7188.46,543,11390.1,3,3144.43,11216.35
108,Client_108,29,female,married,Namangan,high_school,22,79.423,1,1,7394.21,692,14749.49,2,1570.47,11398.4
109,Client_109,28,male,divorced,Tashkent,phd,5,90.975,2,1,8002.51,669,10288.14,5,2490.04,14951.32
110,Client_110,32,male,divorced,Bukhara,master,26,180.733,3,0,4472.13,490,12957.65,4,1792.53,2633.7
111,Client_111,54,female,single,Samarkand,bachelor,10,136.398,3,0,8310.96,579,15611.79,2,3614.66,11797.1
112,Client_112,53,female,widowed,Namangan,bachelor,4,141.951,3,0,8337.71,567,17084.42,3,3770.09,11573.39
113,Client_113,43,male,single,Bukhara,high_school,16,122.751,3,0,7636.74,607,17904.92,2,3715.19,10840.85
114,Client_114,44,female,single,Tashkent,high_school,6,101.557,2,1,6368.56,648,9575.85,3,2945.42,15665.26
115,Client_115,57,male,single,Andijan,master,26,100.049,2,1,7462.65,652,10147.67,2,4025.58,5810.1
116,Client_116,55,male,divorced,Andijan,high_school,14,120.786,3,0,6759.33,610,12016.95,5,2150.74,12713.34
117,Client_117,64,male,single,Tashkent,high_school,12,142.141,3,0,8452.77,567,13909.6,4,3859.77,11022.35
118,Client_118,60,female,single,Tashkent,bachelor,10,68.648,1,1,6450.18,714,10352.18,3,1422.03,9826.55
119,Client_119,42,female,widowed,Andijan,high_school,25,80.074,1,1,7162.04,690,9920.59,3,2808.06,14501.6
120,Client_120,47,male,widowed,Bukhara,master,21,79.022,1,1,4392.52,693,8860.86,3,1349.44,3578.81
121,Client_121,55,male,single,Andijan,high_school,27,6.221,0,1,7457.95,840,10701.57,1,2627.84,15118.54
122,Client_122,21,male,widowed,Tashkent,master,23,78.729,1,1,5875.67,695,6345.29,2,2008.69,3764.31
123,Client_123,55,male,widowed,Namangan,bachelor,28,102.229,2,1,7768.7,647,16259.08,2,1741.53,11393.72
124,Client_124,57,male,single,Samarkand,master,8,90.122,2,1,8182.64,670,12175.63,5,3163.88,16235.51
125,Client_125,34,female,divorced,Namangan,high_school,3,81.726,1,1,6085.04,689,8746.11,0,3637.95,5385.89
126,Client_126,23,male,single,Namangan,bachelor,17,58.006,1,1,7046.78,735,9939.35,2,2251.97,14388.34
127,Client_127,21,female,widowed,Tashkent,master,15,87.722,2,1,7261.74,676,13134.96,2,3590.63,6053.57
128,Client_128,25,male,divorced,Andijan,bachelor,32,172.805,3,0,7552.1,505,16169.74,4,3165.2,15847.9
129,Client_129,46,female,married,Bukhara,high_school,28,105.409,2,1,8184.79,641,15604.25,3,2701.72,11768.67
130,Client_130,34,female,divorced,Namangan,bachelor,9,85.561,2,1,7988.52,680,10102.13,2,1884.03,14932.75
131,Client_131,59,female,widowed,Andijan,bachelor,8,27.428,0,1,6430.16,797,11915.75,2,1841.23,15013.23
132,Client_132,47,female,divorced,Bukhara,bachelor,30,120.994,3,0,9397.48,609,20008.32,3,4818.48,12375.01
133,Client_133,29,female,single,Namangan,master,27,158.88,3,0,8127.98,533,14303.43,4,2532.74,7850.94
134,Client_134,35,female,married,Bukhara,high_school,2,82.805,1,1,9107.72,686,17173.44,4,2347.25,20349.63
135,Client_135,35,male,married,Andijan,bachelor,13,46.849,0,1,7520.06,758,11719.88,4,2500.57,6190.76
136,Client_136,46,female,married,Samarkand,master,24,104.023,2,1,7608.71,645,9819.58,3,3299.27,13413.79
137,Client_137,62,male,widowed,Andijan,bachelor,14,1.282,0,1,6824.21,850,7094.35,1,3285.08,16013.06
138,Client_138,33,female,widowed,Tashkent,master,1,0.84,0,1,6334.34,850,5820.0,1,2248.35,11710.88
139,Client_139,52,female,married,Bukhara,phd,23,89.251,2,1,8463.01,673,17051.34,1,3378.93,7543.6
140,Client_140,59,male,divorced,Samarkand,bachelor,13,77.78,1,1,7396.89,697,12354.03,3,2825.36,5951.3
141,Client_141,52,female,married,Bukhara,high_school,6,24.101,0,1,6802.65,803,8364.24,2,1385.03,6834.02
142,Client_142,24,male,divorced,Bukhara,high_school,23,89.497,2,1,5466.06,672,6872.16,3,1958.16,7011.94
143,Client_143,50,male,divorced,Namangan,bachelor,26,121.753,3,0,9332.67,608,17095.19,3,4059.04,7637.1
144,Client_144,57,male,widowed,Tashkent,master,29,45.78,0,1,7168.94,760,10790.57,1,3068.15,15023.43
145,Client_145,43,male,divorced,Bukhara,high_school,26,64.975,1,1,5159.92,722,9125.05,1,2579.48,6264.5
146,Client_146,59,female,married,Andijan,high_school,14,121.994,3,0,7122.13,607,17325.77,2,3334.23,16894.94
147,Client_147,35,female,widowed,Andijan,high_school,25,73.269,1,1,6698.62,705,10223.89,3,2081.41,14636.36
148,Client_148,63,male,single,Namangan,master,0,92.78,2,1,6637.08,666,10515.37,2,2006.11,15382.34
149,Client_149,49,female,single,Tashkent,high_school,3,103.33,2,1,7864.39,645,12520.89,1,3032.95,8564.21
150,Client_150,56,female,widowed,Tashkent,bachelor,28,121.019,3,0,6700.69,609,15069.14,2,3304.7,11039.14
151,Client_151,33,male,married,Andijan,bachelor,0,80.498,1,1,6541.75,691,8211.09,2,1553.87,7476.56
152,Client_152,52,female,single,Samarkand,master,21,97.762,2,1,9043.61,656,13892.8,3,5239.24,9169.29
153,Client_153,27,male,single,Namangan,bachelor,10,73.068,1,1,4390.65,706,8050.05,3,1832.05,7526.34
154,Client_154,42,male,divorced,Namangan,bachelor,9,49.144,0,1,6922.93,754,6996.27,2,2233.08,14787.31
155,Client_155,48,female,divorced,Andijan,high_school,16,75.286,1,1,8393.28,701,11581.23,2,4006.59,5767.82
156,Client_156,22,female,married,Andijan,bachelor,25,74.625,1,1,7940.4,702,13917.38,2,1730.14,8349.63
157,Client_157,62,female,widowed,Samarkand,bachelor,20,110.325,2,1,8530.07,631,12018.48,3,3358.79,7764.66
158,Client_158,26,male,married,Samarkand,phd,12,33.068,0,1,10032.36,786,12475.55,2,3956.64,21034.85
159,Client_159,48,male,widowed,Tashkent,high_school,8,124.006,3,0,9548.43,604,17630.01,3,2528.33,22598.69
160,Client_160,48,female,single,Namangan,high_school,10,158.133,3,0,5266.7,535,10500.67,2,2817.45,3475.42
161,Client_161,64,female,divorced,Namangan,high_school,10,134.096,3,0,4583.94,584,6515.42,3,2377.81,5768.56
162,Client_162,64,female,married,Andijan,high_school,5,39.046,0,1,7490.28,773,14084.43,1,1955.66,17444.99
163,Client_163,40,female,married,Tashkent,master,0,64.911,1,1,4968.82,721,5395.36,2,1716.88,5909.3
164,Client_164,50,male,widowed,Namangan,high_school,5,26.492,0,1,4110.3,798,6758.73,3,987.18,7913.65
165,Client_165,31,female,widowed,Tashkent,bachelor,12,145.458,3,0,7474.36,561,10707.58,2,4032.0,5242.02
166,Client_166,48,male,married,Tashkent,high_school,21,0.958,0,1,7850.57,850,10163.92,2,2585.41,10902.67
167,Client_167,45,male,widowed,Andijan,high_school,30,98.276,2,1,9566.71,654,12886.21,3,3594.47,14413.22
168,Client_168,59,female,married,Tashkent,bachelor,21,164.2,3,0,8152.65,522,13377.38,5,2686.69,16430.26
169,Client_169,53,female,married,Samarkand,high_school,26,1.182,0,1,9879.34,850,9814.53,1,3201.01,10646.46
170,Client_170,21,female,married,Samarkand,high_school,13,144.885,3,0,7533.33,562,14603.05,2,3758.54,7747.11
171,Client_171,47,male,single,Bukhara,bachelor,4,103.685,2,1,5295.59,644,9343.6,3,2642.64,5856.59
172,Client_172,33,female,widowed,Andijan,bachelor,31,95.181,2,1,8233.28,661,10580.18,4,3351.89,13267.05
173,Client_173,61,female,divorced,Bukhara,high_school,33,65.985,1,1,9001.47,720,18560.7,1,4168.1,20271.39
174,Client_174,23,male,divorced,Samarkand,phd,6,121.24,3,0,7586.63,609,11755.67,2,3070.04,16401.4
175,Client_175,59,female,widowed,Bukhara,bachelor,9,39.319,0,1,9175.83,774,12978.75,2,1940.1,5651.31
176,Client_176,26,male,married,Andijan,master,16,51.855,0,1,6815.12,748,8313.11,2,1542.96,15387.94
177,Client_177,28,female,divorced,Andijan,high_school,29,84.644,1,1,7818.85,682,12850.76,4,2763.93,5396.72
178,Client_178,47,male,divorced,Tashkent,high_school,20,26.131,0,1,6738.5,799,11104.61,2,3368.57,8966.9
179,Client_179,29,female,widowed,Namangan,high_school,12,88.68,2,1,10568.57,674,17891.42,2,5974.31,21462.74
180,Client_180,57,female,divorced,Tashkent,high_school,0,98.147,2,1,8261.89,655,12158.91,2,1750.56,5477.82
181,Client_181,53,male,married,Andijan,bachelor,0,1.319,0,1,5324.94,850,5865.56,1,1848.88,3092.72
182,Client_182,62,male,widowed,Samarkand,master,32,72.269,1,1,9778.9,707,18256.48,2,2831.12,11343.44
183,Client_183,64,female,married,Samarkand,bachelor,24,130.268,3,0,5900.23,591,8368.8,3,3104.01,11563.57
184,Client_184,44,male,divorced,Tashkent,high_school,25,123.571,3,0,7020.54,603,11953.14,3,3779.77,10836.3
185,Client_185,35,male,divorced,Andijan,bachelor,12,85.459,1,1,7702.45,682,9757.77,1,2176.43,10275.1
186,Client_186,52,male,married,Samarkand,high_school,27,193.606,3,0,7824.99,464,15904.89,5,3789.88,16637.07
187,Client_187,52,male,single,Andijan,bachelor,32,113.965,2,1,7725.58,623,10719.95,3,3806.41,15709.34
188,Client_188,44,female,divorced,Samarkand,bachelor,29,90.366,2,1,5300.43,671,11178.73,2,1435.48,10982.95
189,Client_189,61,female,single,Andijan,master,7,93.462,2,1,7730.55,665,15100.98,2,2887.19,10973.16
190,Client_190,32,male,divorced,Bukhara,phd,0,141.957,3,0,8650.97,567,17867.17,4,3876.8,4661.99
191,Client_191,59,male,single,Andijan,high_school,11,106.236,2,1,8607.8,640,12358.17,3,1811.31,7267.34
192,Client_192,22,male,single,Andijan,bachelor,4,32.77,0,1,5047.28,786,7271.73,2,1826.29,10006.74
193,Client_193,23,male,single,Tashkent,master,23,42.101,0,1,6016.52,768,8940.52,1,1576.23,12071.23
194,Client_194,57,female,married,Bukhara,master,5,81.407,1,1,5433.22,689,9411.42,3,2264.34,13282.03
195,Client_195,37,female,single,Namangan,bachelor,24,88.501,2,1,7509.72,674,8861.27,4,4033.97,6611.35
196,Client_196,22,male,single,Tashkent,master,0,93.265,2,1,4672.53,665,10389.65,1,1915.28,3485.02
197,Client_197,22,male,single,Namangan,high_school,24,75.126,1,1,5315.89,701,8331.45,2,1139.69,4133.52
198,Client_198,48,male,divorced,Samarkand,master,0,80.903,1,1,6002.3,689,12583.17,3,1271.66,5219.46
199,Client_199,43,female,single,Namangan,high_school,31,71.446,1,1,4304.81,709,4597.3,2,1903.59,6702.32
200,Client_200,57,male,divorced,Andijan,bachelor,2,63.077,1,1,6958.3,725,8978.23,1,2304.54,17050.78
201,Client_201,52,female,single,Namangan,master,18,140.419,3,0,3840.26,571,5568.68,4,1647.73,6447.27
202,Client_202,53,male,single,Tashkent,high_school,28,99.964,2,1,7728.02,652,15729.33,1,2051.44,11942.69
203,Client_203,21,female,married,Tashkent,bachelor,1,77.459,1,1,6404.47,698,9087.01,1,3271.05,11827.21
204,Client_204,39,male,divorced,Namangan,high_school,8,129.47,3,0,6064.03,593,14113.89,2,3300.58,3928.64
205,Client_205,22,female,single,Tashkent,phd,16,115.569,3,0,6308.88,619,13998.77,4,3505.78,13442.38
206,Client_206,64,male,divorced,Tashkent,master,16,95.791,2,1,6909.42,660,13087.16,1,2222.28,12393.84
207,Client_207,46,male,divorced,Namangan,bachelor,11,93.2,2,1,7889.3,665,14825.99,1,3662.96,6645.81
208,Client_208,52,male,widowed,Bukhara,bachelor,19,75.724,1,1,8975.65,699,16361.86,3,2796.96,15809.98
209,Client_209,26,female,married,Bukhara,master,2,123.778,3,0,8520.86,604,17718.79,3,4303.91,14420.84
210,Client_210,52,male,married,Samarkand,high_school,3,42.264,0,1,10347.53,767,14030.77,1,2568.36,6515.9
211,Client_211,24,female,married,Tashkent,bachelor,16,93.532,2,1,8012.95,664,15229.43,3,4047.39,8284.3
212,Client_212,31,female,widowed,Namangan,bachelor,14,79.294,1,1,7210.47,693,14805.05,1,2710.36,9242.98
213,Client_213,37,male,widowed,Tashkent,high_school,32,102.78,2,1,6314.45,647,9758.32,3,3423.82,6249.9
214,Client_214,58,male,married,Andijan,high_school,15,75.09,1,1,6364.3,701,13239.14,3,3153.97,6277.26
215,Client_215,44,male,widowed,Tashkent,high_school,10,10.627,0,1,7808.56,830,7148.23,3,2737.74,12852.08
216,Client_216,25,female,widowed,Tashkent,high_school,19,102.448,2,1,5500.83,646,8617.41,5,3088.25,7930.65
217,Client_217,54,male,widowed,Bukhara,master,23,110.261,2,1,7343.46,631,9881.44,3,2300.96,13472.2
218,Client_218,26,female,married,Namangan,bachelor,15,122.788,3,0,6971.7,605,9732.33,2,4090.96,16821.42
219,Client_219,42,female,married,Tashkent,bachelor,29,88.696,2,1,5907.85,675,11923.46,3,2994.58,10758.87
220,Client_220,31,male,married,Bukhara,high_school,33,88.89,2,1,5423.21,674,11583.86,2,3233.7,9025.27
221,Client_221,36,male,widowed,Samarkand,high_school,0,83.688,1,1,10787.08,685,21007.86,2,2390.0,23678.92
222,Client_222,53,male,married,Bukhara,high_school,23,65.155,1,1,4905.14,722,10069.59,1,1518.7,8653.39
223,Client_223,29,male,widowed,Bukhara,master,23,70.09,1,1,6898.36,711,8853.48,2,3425.08,5733.38
224,Client_224,26,male,single,Bukhara,bachelor,8,86.708,2,1,8833.88,678,11148.32,3,5025.59,9977.84
225,Client_225,36,male,widowed,Tashkent,master,21,0.918,0,1,7793.59,850,10457.41,2,1648.41,15327.8
226,Client_226,49,female,divorced,Tashkent,bachelor,11,54.772,0,1,6289.7,742,11625.6,2,1257.96,12433.25
227,Client_227,23,female,married,Samarkand,bachelor,16,134.875,3,0,5211.78,582,6984.18,2,1576.55,12894.03
228,Client_228,40,female,married,Andijan,bachelor,24,155.077,3,0,7194.68,541,19906.56,3,3893.12,12619.11
229,Client_229,56,male,divorced,Andijan,master,27,116.726,3,0,3040.73,617,5918.44,4,1541.23,6990.91
230,Client_230,39,female,widowed,Andijan,master,14,78.849,1,1,7254.8,694,15521.14,4,2438.42,4419.34
231,Client_231,46,female,single,Samarkand,high_school,29,120.686,3,0,7052.24,610,11839.34,4,1416.12,11512.39
232,Client_232,23,female,divorced,Andijan,bachelor,26,113.94,2,1,8605.18,624,15091.77,3,3630.37,20133.51
233,Client_233,39,female,divorced,Andijan,bachelor,21,84.346,1,1,5284.99,682,10179.45,2,1560.04,5678.66
234,Client_234,40,female,widowed,Bukhara,bachelor,9,101.006,2,1,6514.79,649,13491.99,3,3245.95,5275.37
235,Client_235,52,male,married,Tashkent,high_school,30,177.65,3,0,7655.35,496,14281.58,4,2897.86,9194.23
236,Client_236,27,male,widowed,Tashkent,master,26,37.514,0,1,7308.35,777,13614.52,2,3445.45,15234.06
237,Client_237,61,female,divorced,Bukhara,phd,11,47.323,0,1,4986.03,756,9236.57,3,2697.06,3337.66
238,Client_238,53,female,divorced,Bukhara,high_school,30,143.462,3,0,6028.75,564,8158.0,2,2497.73,10252.95
239,Client_239,60,female,married,Bukhara,master,31,83.782,1,1,9099.87,685,11242.36,1,3042.83,7018.39
240,Client_240,59,male,married,Tashkent,high_school,31,136.05,3,0,7388.99,580,14306.88,1,3752.26,10130.78
